App,Rssi,Device,Hive_Position,Record_Type,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,w1,w3,w2,w4,Radar,Audio
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/20/2023 9:49 PM,08/20/2023 3:49 PM,1692568190,1616,false,30,94.85,69,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/20/2023 9:50 PM,08/20/2023 3:50 PM,1692568238,5693,false,98,97.12,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/20/2023 10:49 PM,08/20/2023 4:49 PM,1692571787,764,false,100,83.69,,55.99,1,55.99,10.34,12.73,23.64,9.28,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/20/2023 10:49 PM,08/20/2023 4:49 PM,1692571790,1617,false,28,92.89,68,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/20/2023 10:50 PM,08/20/2023 4:50 PM,1692571838,5694,false,98,96.51,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/20/2023 11:49 PM,08/20/2023 5:49 PM,1692575387,765,false,100,80.34,,55.64,1,55.64,10.19,12.60,23.79,9.06,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/20/2023 11:49 PM,08/20/2023 5:49 PM,1692575390,1618,false,27,90.91,69,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/20/2023 11:50 PM,08/20/2023 5:50 PM,1692575438,5695,false,98,95.86,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 12:49 AM,08/20/2023 6:49 PM,1692578987,766,false,100,77.43,,55.38,1,55.38,10.10,12.41,23.85,9.02,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 12:49 AM,08/20/2023 6:49 PM,1692578990,1619,false,25,88.57,69,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 12:50 AM,08/20/2023 6:50 PM,1692579038,5696,false,98,95.09,,,,,,,,,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 1:21 AM,08/20/2023 7:21 PM,1692580889,1620,false,25,88.25,69,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 1:21 AM,08/20/2023 7:21 PM,1692580913,5701,false,98,94.08,,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 1:21 AM,08/20/2023 7:21 PM,1692580917,5697,false,98,94.47,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 1:49 AM,08/20/2023 7:49 PM,1692582587,767,false,100,75.16,,55.17,1,55.17,10.03,12.21,23.86,9.07,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 1:49 AM,08/20/2023 7:49 PM,1692582590,1620,false,25,88.25,69,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 1:50 AM,08/20/2023 7:50 PM,1692582638,5697,false,98,94.47,,,,,,,,,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 2:21 AM,08/20/2023 8:21 PM,1692584486,1627,false,29,87.80,69,,,,,,,,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 2:21 AM,08/20/2023 8:21 PM,1692584488,1632,false,29,87.81,69,,,,,,,,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 2:21 AM,08/20/2023 8:21 PM,1692584489,1633,false,32,87.81,69,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 2:21 AM,08/20/2023 8:21 PM,1692584505,769,false,100,73.43,,55.07,1,55.07,9.97,12.10,23.84,9.16,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 2:21 AM,08/20/2023 8:21 PM,1692584511,773,false,100,73.41,,55.09,1,55.09,9.98,12.10,23.85,9.16,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 2:21 AM,08/20/2023 8:21 PM,1692584512,774,false,100,73.43,,55.07,1,55.07,9.97,12.10,23.84,9.16,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 2:21 AM,08/20/2023 8:21 PM,1692584513,5704,false,97,94.11,,,,,,,,,,
